Secteur,Activité
Protection générale,Suivi des mouvements de population
Protection générale,Monitoring de protection
Protection générale,Assistance légale et juridique
Protection générale,Délivrance de documents civils
Protection générale,Sensibilisation sur les droits humains
Protection générale,Soutien psychosocial communautaire
Protection générale,Référencement des cas vulnérables
Protection de l'enfant,Identification des enfants séparés
Protection de l'enfant,Réunification familiale
Protection de l'enfant,Création d'espaces amis des enfants
Protection de l'enfant,Soutien psychologique aux enfants
Protection de l'enfant,Sensibilisation contre le recrutement
Protection de l'enfant,Placement en famille d'accueil
Protection de l'enfant,Réinsertion socio-économique des jeunes
Violence basée sur le genre,Prise en charge médicale des survivantes
Violence basée sur le genre,Soutien psychosocial individuel
Violence basée sur le genre,Distribution de kits de dignité
Violence basée sur le genre,Sensibilisation communautaire VBG
Violence basée sur le genre,Création d'espaces sûrs pour les femmes
Violence basée sur le genre,Formation des acteurs locaux sur la VBG
Violence basée sur le genre,Référencement sécurisé des cas
WASH,Construction de forages d'eau
WASH,Réhabilitation de puits
WASH,Distribution de kits d'hygiène
WASH,Construction de latrines d'urgence
WASH,Campagnes de promotion de l'hygiène
WASH,Chloration des points d'eau
WASH,Gestion des déchets solides
CCCM,Enregistrement des ménages déplacés
CCCM,Mise en place de comités de camp
CCCM,Coordination des services sur site
CCCM,Maintenance des infrastructures du site
CCCM,Gestion des plaintes et retours
CCCM,Planification de l'aménagement du site
CCCM,Campagnes d'information aux résidents
Santé,Consultations médicales primaires
Santé,Campagnes de vaccination
Santé,Prise en charge de la santé reproductive
Santé,Distribution de médicaments essentiels
Santé,Cliniques mobiles d'urgence
Santé,Surveillance épidémiologique
Santé,Soutien en santé mentale
Nutrition,Dépistage de la malnutrition
Nutrition,Distribution de suppléments nutritionnels
Nutrition,Prise en charge de la malnutrition aiguë
Nutrition,Sensibilisation sur l'alimentation infantile
Nutrition,Soutien aux femmes allaitantes
Nutrition,Suivi du poids des enfants
Nutrition,Distribution de repas chauds
Education,Construction d'espaces d'apprentissage
Education,Distribution de kits scolaires
Education,Formation des enseignants
Education,Cours de rattrapage scolaire
Education,Paiement des primes des enseignants
Education,Mise en place de clubs scolaires
Education,Activités récréatives éducatives
Moyens de subsistence,Distribution de kits agricoles
Moyens de subsistence,Formation professionnelle
Moyens de subsistence,Transferts monétaires inconditionnels
Moyens de subsistence,Travail contre rémunération
Moyens de subsistence,Soutien aux micro-entreprises
Moyens de subsistence,Distribution de bétail
Moyens de subsistence,Création d'associations d'épargne
Abris,Distribution de kits d'abris d'urgence
Abris,Construction d'abris transitoires
Abris,Réhabilitation de maisons endommagées
Abris,Distribution de biens non alimentaires
Abris,Aide au paiement des loyers
Abris,Soutien à l'auto-construction
Abris,Aménagement de centres collectifs
